,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7RNJ,N,,S2P6 FAB FRAGMENT BOUND TO THE SARS-COV/SARS-COV-2 SPIKE STEM HELIX PEPTIDE,"ANTIVIRAL PROTEIN, IMMUNE SYSTEM","COVID-19, SARS-COV-2, NEUTRALIZING MONOCLONAL ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, ANTIVIRAL PROTEIN, IMMUNE SYSTEM",BROAD BETACORONAVIRUS NEUTRALIZATION BY A STEM HELIX-SPECIFIC HUMAN ANTIBODY.,,,H,L,B,PEPTIDE,SPIKE GLYCOPROTEIN STEM HELIX PEPTIDE,"ANTIVIRAL PROTEIN, IMMUNE SYSTEM",08/11/21,S2P6 FAB FRAGMENT BOUND TO THE SARS-COV/SARS-COV-2 SPIKE STEM HELIX PEPTIDE,HOMO SAPIENS; SYNTHETIC CONSTRUCT,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SNELL, G., CZUDNOCHOWSKI, N., CROLL, T.I., NIX, J.C., CORTI, D., CAMERONI, E., PINTO, D., BELTRAMELLO, M., SAUER, M.M., VEESLER, D.",X-RAY DIFFRACTION,NONE
7NDD,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN (ONE RBD UP) IN COMPLEX WITH COVOX-159,"VIRAL PROTEIN, IMMUNE SYSTEM","SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN, IMMUNE SYSTEM",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,F,G,A,PROTEIN,SPIKE GLYCOPROTEIN,"VIRAL PROTEIN, IMMUNE SYSTEM",03/03/21,EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN (ONE RBD UP) IN COMPLEX WITH COVOX-159,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., ZHAO, Y., REN, J., STUART, D.",ELECTRON MICROSCOPY,NONE
7X7V,N,,"CRYO-EM STRUCTURE OF SARS-COV SPIKE PROTEIN IN COMPLEX WITH THREE NABS X01, X10 AND X17",VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, NEUTRALIZING ANTIBODY, CRYO-EM, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","CRYO-EM STRUCTURE OF SARS-COV SPIKE PROTEIN IN COMPLEX WITH THREE NABS X01, X10 AND X17",,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,08/17/22,"CRYO-EM STRUCTURE OF SARS-COV SPIKE PROTEIN IN COMPLEX WITH THREE NABS X01, X10 AND X17",MUS MUSCULUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,"SUN, H., LIU, L., ZHANG, T., ZHENG, Q., LI, S., XIA, N.",ELECTRON MICROSCOPY,NONE
6CK9,N,,CRYSTAL STRUCTURE OF HIV-1 CONC_BASE0 PREFUSION ENV TRIMER IN COMPLEX WITH HUMAN ANTIBODY FRAGMENT 3H109L AND 35O22 VARIANTS AT 3.5 ANGSTROM,VIRAL PROTEIN,"HIV-1 ENVELOPE FUSION GLYCOPROTEIN, VIRAL PROTEIN",A UNIVERSAL APPROACH TO OPTIMIZE THE FOLDING AND STABILITY OF PREFUSION-CLOSED HIV-1 ENVELOPE TRIMERS.,,,H,L,G,PROTEIN,GP120 OF ENVELOPE GLYCOPROTEIN GP160,VIRAL PROTEIN,02/27/18,CRYSTAL STRUCTURE OF HIV-1 CONC_BASE0 PREFUSION ENV TRIMER IN COMPLEX WITH HUMAN ANTIBODY FRAGMENT 3H109L AND 35O22 VARIANTS AT 3.5 ANGSTROM,HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,HUMAN IMMUNODEFICIENCY VIRUS 1,"LAI, Y.-T., KWONG, P.D.",X-RAY DIFFRACTION,NONE
7CHE,N,"BD-236 FAB HEAVY CHAIN, BD-236 FAB LIGHT CHAIN, SARS-COV-2 RECEPTOR BINDING DOMAIN, BD-368-2 FAB HEAVY CHAIN, BD-368-2 FAB LIGHT CHAIN",CRYSTAL STRUCTURE OF THE SARS-COV-2 RBD IN COMPLEX WITH BD-236 FAB AND BD-368-2 FAB,ANTIVIRAL PROTEIN/IMMUNE SYSTEM,"MAB, ANTIVIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",STRUCTURALLY RESOLVED SARS-COV-2 ANTIBODY SHOWS HIGH EFFICACY IN SEVERELY INFECTED HAMSTERS AND PROVIDES A POTENT COCKTAIL PAIRING STRATEGY.,,,H,L,R,PROTEIN,SARS-COV-2 RECEPTOR BINDING DOMAIN,ANTIVIRAL PROTEIN/IMMUNE SYSTEM,07/05/20,CRYSTAL STRUCTURE OF THE SARS-COV-2 RBD IN COMPLEX WITH BD-236 FAB AND BD-368-2 FAB,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"XIAO, J., ZHU, Q.",X-RAY DIFFRACTION,NONE
7JV4,N,"SARS-COV-2 SPIKE GLYCOPROTEIN, S2H13 FAB HEAVY CHAIN, S2H13 FAB LIGHT CHAIN",SARS-COV-2 SPIKE IN COMPLEX WITH THE S2H13 NEUTRALIZING ANTIBODY (ONE RBD OPEN),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, COVID-19, SPIKE GLYCOPROTEIN, FUSION PROTEIN, NEUTRALIZING ANTIBODIES, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",MAPPING NEUTRALIZING AND IMMUNODOMINANT SITES ON THE SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN BY STRUCTURE-GUIDED HIGH-RESOLUTION SEROLOGY.,,,F,G,C,PROTEIN,SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/20/20,SARS-COV-2 SPIKE IN COMPLEX WITH THE S2H13 NEUTRALIZING ANTIBODY (ONE RBD OPEN),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PARK, Y.J., TORTORICI, M.A., WALLS, A.C., CZUDNOCHOWSKI, N., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID), SNELL, G., VEESLER, D.",ELECTRON MICROSCOPY,NONE
7Z1D,N,,NANOBODY H11-H6 BOUND TO RBD,ANTIVIRAL PROTEIN,"SPIKE, NANOBODY, HIGH AFFINITY, ANTIVIRAL PROTEIN",STRUCTURE OF H11-H6 BOUND TO RBD,,,F,,E,PROTEIN,UNKNOWN,ANTIVIRAL PROTEIN,01/08/09,NANOBODY H11-H6 BOUND TO RBD,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA,,,,"MIKOLAJEK, H., NAISMITH, J.H.",X-RAY DIFFRACTION,NONE
7L2C,N,,CRYSTALLOGRAPHIC STRUCTURE OF NEUTRALIZING ANTIBODY 2-51 IN COMPLEX WITH SARS-COV-2 SPIKE N-TERMINAL DOMAIN (NTD),IMMUNE SYSTEM/VIRAL PROTEIN,"COVID-19, SARS-COV-2, VIRAL PROTEIN, SPIKE GLYCOPROTEIN, N-TERMINAL DOMAIN, NTD, NEUTRALIZING ANTIBODY, 2-51, FAB, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX",POTENT SARS-COV-2 NEUTRALIZING ANTIBODIES DIRECTED AGAINST SPIKE N-TERMINAL DOMAIN TARGET A SINGLE SUPERSITE.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,IMMUNE SYSTEM/VIRAL PROTEIN,02/10/21,CRYSTALLOGRAPHIC STRUCTURE OF NEUTRALIZING ANTIBODY 2-51 IN COMPLEX WITH SARS-COV-2 SPIKE N-TERMINAL DOMAIN (NTD),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CERUTTI, G., REDDEM, E.R., SHAPIRO, L.",X-RAY DIFFRACTION,NONE
6ZBP,N,"SPIKE GLYCOPROTEIN, H11-H4",H11-H4 COMPLEX WITH SARS-COV-2,ANTIVIRAL PROTEIN,"COMPLEX, LLAMA, NANOBODY, ANTIBODY, SARS-COV-2, ANTIVIRAL PROTEIN",H11-D4 COMPLEX WITH SARS-COV-2 RBD,,,F,,E,PROTEIN,UNKNOWN,ANTIVIRAL PROTEIN,06/08/20,H11-H4 COMPLEX WITH SARS-COV-2,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA,,,,"NAISMITH, J.H., HUO, J., MIKOLAJEK, H., WARD, P., DUMOUX, M., OWENS, R.J., LEBAS, A.",X-RAY DIFFRACTION,NONE
6ZDH,N,,SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A NEUTRALIZING ANTIBODY EY6A FAB,VIRAL PROTEIN,"EY6A, RBD, SPIKE GLYCOPROTEIN, SARS-COV-2, HUMAN NEUTRALIZING ANTIBODY, VIRAL PROTEIN, IMMUNE SYSTEM",STRUCTURAL BASIS FOR THE NEUTRALIZATION OF SARS-COV-2 BY AN ANTIBODY FROM A CONVALESCENT PATIENT.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,06/14/20,SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A NEUTRALIZING ANTIBODY EY6A FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., ZHOU, D., ZHAO, Y., FRY, E.E., REN, J., STUART, D.I.",ELECTRON MICROSCOPY,NONE
7SN2,N,,STRUCTURE OF HUMAN SARS-COV-2 NEUTRALIZING ANTIBODY C1C-A3 FAB,IMMUNE SYSTEM,"COVID-19, SARS-COV-2, NEUTRALIZING ANTIBODY, NEUTRALIZATION ESCAPE, IMMUNE SYSTEM",STRUCTURAL BASIS FOR CONTINUED ANTIBODY EVASION BY THE SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,IMMUNE SYSTEM,12/08/21,STRUCTURE OF HUMAN SARS-COV-2 NEUTRALIZING ANTIBODY C1C-A3 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PAN, J., ABRAHAM, J., YANG, P., SHANKAR, S.",ELECTRON MICROSCOPY,NONE
7LY3,N,"SPIKE PROTEIN S1, S2M28 FAB HEAVY CHAIN, S2M28 FAB LIGHT CHAIN",CRYSTAL STRUCTURE OF SARS-COV-2 S NTD BOUND TO S2M28 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"ANTIBODY, VIRAL PROTEIN, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",N-TERMINAL DOMAIN ANTIGENIC MAPPING REVEALS A SITE OF VULNERABILITY FOR SARS-COV-2.,,,F,E,B,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/14/21,CRYSTAL STRUCTURE OF SARS-COV-2 S NTD BOUND TO S2M28 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"MCCALLUM, M., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",X-RAY DIFFRACTION,NONE
7MW6,N,,STRUCTURE OF THE SARS-COV-2 SPIKE TRIMER WITH THREE RBDS UP IN COMPLEX WITH THE FAB FRAGMENT OF HUMAN NEUTRALIZING ANTIBODY CLONE 2,VIRAL PROTEIN/IMMUNE SYSTEM,"VIRAL PROTEIN, ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","DEVELOPMENT, STRUCTURE AND FUNCTION OF POTENT MONOSPECIFIC AND BISPECIFIC MONOCLONAL ANTIBODIES THAT NEUTRALIZE SARS-COV-2 AND ITS MUTANT VARIANT",,,D,E,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/16/22,STRUCTURE OF THE SARS-COV-2 SPIKE TRIMER WITH THREE RBDS UP IN COMPLEX WITH THE FAB FRAGMENT OF HUMAN NEUTRALIZING ANTIBODY CLONE 2,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HU, Y., XIONG, Y.",ELECTRON MICROSCOPY,NONE
6PSC,N,SCFV-M204 ANTIBODY,ANTIBODY SCFV-M204 TRIMERIC STATE,IMMUNE SYSTEM,"ANTI-TAU-OLIGOMER SCFV ANTIBODY, IMMUNE SYSTEM",CRYSTAL STRUCTURE OF A CONFORMATIONAL ANTIBODY THAT BINDS TAU OLIGOMERS AND INHIBITS PATHOLOGICAL SEEDING BY EXTRACTS FROM DONORS WITH ALZHEIMER'S DISEASE.,,,C,C,,,,IMMUNE SYSTEM,06/17/20,ANTIBODY SCFV-M204 TRIMERIC STATE,ORYCTOLAGUS CUNICULUS,ORYCTOLAGUS CUNICULUS,,,"ABSKHARON, R., SAWAYA, M.R., SEIDLER, P.M., CASCIO, D., EISENBERG, D.S.",X-RAY DIFFRACTION,NONE
7NXB,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 P.1 VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 B.1.1.7 VARIANT, B.1.351 VARIANT, P.1 VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ANTIBODY EVASION BY THE P.1 STRAIN OF SARS-COV-2.,,,A,B,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/07/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 P.1 VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
