pdb_id,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,pdbx_model_type_details,pdbx_model_details
6NM6,N,"Envelope glycoprotein gp41, 35O22 scFv heavy chain, 35O22 scFv light chain, Envelope glycoprotein gp120, 3H109L Fab heavy chain, 3H109L Fab light chain, N6 FR3-03 heavy chain, N6 FR3-03 light chain",Improvement of antibody functionality by structure-guided paratope engraftment.,IMMUNE SYSTEM,"HIV-1 Envelope Prefusion Trimer, CD4-binding site antibodies, chimeric antibodies, IMMUNE SYSTEM",,
7LSF,N,"T025 Fab Heavy Chain, T025 Fab Light Chain, Envelope protein E",Broad and potent neutralizing human antibodies to tick-borne flaviviruses protect mice from disease.,IMMUNE SYSTEM/VIRAL PROTEIN,"Tick-borne encephalitis virus, antibody, EDIII, TBEV, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN complex",,
3MLS,,"Human monoclonal anti-HIV-1 gp120 V3 antibody 2557 Fab light chain, Human monoclonal anti-HIV-1 gp120 V3 antibody 2557 Fab heavy chain, Rationally designed V3 mimotope",Conserved structural elements in the V3 crown of HIV-1 gp120.,IMMUNE SYSTEM,"human monoclonal antibody, Fab, HIV-1, gp120, third variable loop, antibody-antigen interaction, mimotope, IMMUNE SYSTEM",,
6CNW,N,SD84h,Universal protection against influenza infection by a multidomain antibody to influenza hemagglutinin.,IMMUNE SYSTEM,"single domain antibody, humanization, influenza, hemagglutinin, IMMUNE SYSTEM",,
7P16,N,,Cryo-EM structures of the caspase activated protein XKR9 involved in apoptotic lipid scrambling.,MEMBRANE PROTEIN,"small membrane protein, in complex with sybody, apoptotic lipid scrambling, MEMBRANE PROTEIN",,
2EH7,,"HUMANIZED KR127 FAB, LIGHT CHAIN, HUMANIZED KR127 FAB, HEAVY CHAIN",Broadly neutralizing anti-hepatitis B virus antibody reveals a complementarity determining region H3 lid-opening mechanism,IMMUNE SYSTEM,"HEPATITIS B VIRUS, HUMANIZED ANTIBODY, MONOCLONAL ANTIBODY, NEUTRALIZATION, PRES1, IMMUNE SYSTEM",,
4K3H,,L5(L89S),Malachite Green Mediates Homodimerization of Antibody VL Domains to Form a Fluorescent Ternary Complex with Singular Symmetric Interfaces.,immune system/inhibitor,"immunoglobulin fold, fluorescensce, malachite green, o-mannosylation, Thr27, immune system-inhibitor complex",,
5FUU,,"HIV-1 ENVELOPE GLYCOPROTEIN GP160, IMMUNOGLOBULIN G PGT151","Cryo-Em Structure of a Native, Fully Glycosylated and Cleaved HIV-1 Envelope Trimer",VIRAL PROTEIN,"VIRAL PROTEIN, HIV-1, ENV, PGT151, BROADLY NEUTRALIZING ANTIBODY",,
4JPV,,"HIV-1 CLADE A STRAIN 93TH057 GP120 WITH LOOP d AND LOOPD V5 REPLACED FROM HIV STRAIN 3415V1, HEAVY CHAIN OF ANTIBODY 3BNC117, LIGHT CHAIN OF ANTIBODY 3BNC117",Somatic Mutations of the Immunoglobulin Framework Are Generally Required for Broad and Potent HIV-1 Neutralization.,viral protein/immune system,"HIV, GP120, CD4-BINDING SITE, 3BNC117, NEUTRALIZATION, VACCINE, ANTIBODY, ENVELOPE PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",,
4DKA,,"single domain antibody VHH, RNA-editing complex protein MP81",The structure of the C-terminal domain of the largest editosome interaction protein and its role in promoting RNA binding by RNA-editing ligase L2.,RNA BINDING PROTEIN/IMMUNE SYSTEM,"KREPA1, VHH, Single domain antibody, PROTEIN BINDING, RNA BINDING PROTEIN-IMMUNE SYSTEM complex",,
4MQX,,"H(+)/Cl(-) exchange transporter ClcA, ecCLC, ERIC",Conformational changes required for H(+)/Cl(-) exchange mediated by a CLC transporter.,"metal transport, membrane protein","alpha helical transmembrane protein, Cl/H antiporter, metal transport, membrane protein",,
7KBM,N,Single-chain Fv,Co-crystallization with diabodies: A case study for the introduction of synthetic symmetry.,PROTEIN BINDING,"diabody, immunoglobin, reverse transcriptase, PROTEIN BINDING",,
6EAY,N,"CA45 light chain, CA45 heavy chain, Envelope glycoprotein GP2, Envelope glycoprotein GP1",Structural basis for broad neutralization of ebolaviruses by an antibody targeting the glycoprotein fusion loop.,VIRAL PROTEIN,"ebolavirus, glycoprotein, cross-protective antibody, broadly neutralizing antibody, CA45, fusion loop, cross-reactive, filovirus, VIRAL PROTEIN",,
2IQA,,"IgG2a Fab fragment PFA2 Kappa light chain, IgG2a Fab fragment PFA2 heavy chain",Molecular basis for passive immunotherapy of Alzheimer's disease,IMMUNE SYSTEM,"pfa2, wwddd, cdr, IMMUNE SYSTEM",,
1IGM,,IMMUNOGLOBULIN M (IG-M) FV FRAGMENT,Three-dimensional structure of an Fv from a human IgM immunoglobulin.,IMMUNOGLOBULIN,IMMUNOGLOBULIN,,
5MP3,N,"antibody Fab heavy chain, antibody Fab light chain, Microtubule-associated protein tau",Crystal structure of DC8E8 Fab in the complex with a 30-mer tau peptide at pH 6.5,IMMUNE SYSTEM,"Antibody Fab, complex, tau protein, immune system",,
6VO0,N,"43A2 light chain, 43A2 heavy chain, Envelope glycoprotein gp120, Envelope glycoprotein gp41",HIV envelope trimer-elicited autologous neutralizing antibodies bind a region overlapping the N332 glycan supersite.,VIRAL PROTEIN,"HIV, Env, antibody, VIRAL PROTEIN",,
2VDO,,"INTEGRIN ALPHA-IIB, INTEGRIN BETA-3, FIBRINOGEN, GAMMA POLYPEPTIDE, MONOCLONAL ANTIBODY 10E5 HEAVY CHAIN, MONOCLONAL ANTIBODY 10E5 LIGHT CHAIN",Structural Basis for Distinctive Recognition of Fibrinogen Gammac Peptide by the Platelet Integrin Alphaiibbeta3.,CELL ADHESION/IMMUNE SYSTEM,"CELL ADHESION-IMMUNE SYSTEM COMPLEX, FIBRINOGEN BINDING, PLATELET INTEGRIN ALPHAIIBBETA3, GLYCOPROTEIN, CELL ADHESION, MEMBRANE, INTEGRIN, RECEPTOR, ANTAGONIST, HOST-VIRUS INTERACTION, PYRROLIDONE CARBOXYLIC ACID, TRANSMEMBRANE, PHOSPHORYLATION, DISEASE MUTATION, CLEAVAGE ON PAIR OF BASIC RESIDUES",,
5W9O,N,"Spike glycoprotein, G4 VH, G4 VL",Immunogenicity and structures of a rationally designed prefusion MERS-CoV spike antigen.,VIRAL PROTEIN,"Immunogen, peplomer, viral spike, MERS, MERS S protein, antibody, G4, VIRAL PROTEIN",,
4W68,,Single domain antibody,Structural and mutational analysis of a monomeric and dimeric form of a single domain antibody with implications for protein misfolding.,IMMUNE SYSTEM,"beta helical, amyloid-like, misfolded, dimeric, IMMUNE SYSTEM",,
6LTG,N,"antibody Fab fragment H-chain, antibody Fab fragment L-chain","Structural basis for the interaction of human herpesvirus 6B tetrameric glycoprotein complex with the cellular receptor, human CD134.",IMMUNE SYSTEM,"Human herpesvirus 6B, neutralizing antibody, IMMUNE SYSTEM",,
6CW3,N,"antibody heavy chain, antibody light chain, Histone acetyltransferase GCN5 (E.C.2.3.1.48), Transcriptional adapter 2",Structural basis for activation of SAGA histone acetyltransferase Gcn5 by partner subunit Ada2.,GENE REGULATION,"Ada2/Gcn5 structure, GENE REGULATION",,
1B0W,,BENCE-JONES KAPPA I PROTEIN BRE,Tertiary structures of amyloidogenic and non-amyloidogenic transthyretin variants: new model for amyloid fibril formation,IMMUNE SYSTEM,"IMMUNOGLOBULIN, AMYLOID, IMMUNE SYSTEM",,
6X3X,N,"Gamma-aminobutyric acid receptor subunit beta-2, Gamma-aminobutyric acid receptor subunit alpha-1, Gamma-aminobutyric acid receptor subunit gamma-2, Kappa Fab Light Chain, IgG2b Fab Heavy Chain",Shared structural mechanisms of general anaesthetics and benzodiazepines.,MEMBRANE PROTEIN,"Ion channel, Cys-loop receptor, pentametic ligand gated channel, GABAA receptor, MEMBRANE PROTEIN",,
7D5Q,N,"Drug transporter, putative, ICab","Structural basis of inhibition of a transporter from Staphylococcus aureus, NorC, through a single-domain camelid antibody.",MEMBRANE PROTEIN,"NorC, major facilitator superfamily, transporter, outward-open, membrane protein",,
3EYU,,PFA1 Fab fragment complexed with Ror2(518-525),Structures of Abeta-related peptide--monoclonal antibody complexes.,IMMUNE SYSTEM,"Fab, amyloid, alzheimer's, protein-peptide complex, IMMUNE SYSTEM",,
2A77,,"Immunoglobulin Light Chain, Immunoglobulin Heavy Chain",Flexibility of Packing: Four Crystal Forms of an Anti-Cocaine Antibody 7.5.21,IMMUNE SYSTEM,Immune System,,
2BOB,,"ANTIBODY FAB FRAGMENT HEAVY CHAIN, ANTIBODY FAB FRAGMENT LIGHT CHAIN, POTASSIUM CHANNEL KCSA",Structural Basis of Tea Blockade in a Model Potassium Channel,IMMUNE SYSTEM/TRANSPORT PROTEIN,"IMMUNE SYSTEM/TRANSPORT PROTEIN, COMPLEX (ANTIBODY-ION CHANNEL), POTASSIUM CHANNEL, ION TRANSPORT, IONIC CHANNEL, PROTEIN- ANTIBODY FAB COMPLEX, IMMUNE SYSTEM-TRANSPORT PROTEIN complex",,
7KPJ,N,,The molecular characterization of antibody binding to a superantigen-like protein from a commensal microbe.,IMMUNE SYSTEM,"superantigen, immunoglobulin binding protein, immunoglobulin complex, IMMUNE SYSTEM",,
1K4D,,,Chemistry of ion coordination and hydration revealed by a K+ channel-Fab complex at 2.0 A resolution.,MEMBRANE PROTEIN,"K channel, protein-antibody Fab complex, MEMBRANE PROTEIN",,
4ONG,,"3D6 FAB ANTIBODY HEAVY CHAIN, 3D6 AB ANTIBODY LIGHT CHAIN, Amyloid beta A4 protein",Crystal structure reveals conservation of amyloid-beta conformation recognized by 3D6 following humanization to bapineuzumab.,IMMUNE SYSTEM,"ANTIBODY, AMYLOID BETA PEPTIDE, IMMUNE SYSTEM",,
6UVA,N,"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Receptor activity-modifying protein 3, Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2, Nanobody 35, Protein ADM2, Calcitonin gene-related peptide type 1 receptor",Structure and Dynamics of Adrenomedullin Receptors AM1and AM2Reveal Key Mechanisms in the Control of Receptor Phenotype by Receptor Activity-Modifying Proteins.,MEMBRANE PROTEIN,"GPCR, adrenomedullin receptor complex, MEMBRANE PROTEIN",,
7RYC,N,,The oxytocin signaling complex reveals a molecular switch for cation dependence.,MEMBRANE PROTEIN/NEUROPEPTIDE,"HORMONE, GPCR COMPLEX, TRANSMEMBRANE RECEPTOR, OXYTOCIN RECEPTOR, OTR, OT, OXTR, G PROTEIN, OXYTOCIN, VASOTOCIN, MEMBRANE PROTEIN, MEMBRANE PROTEIN-NEUROPEPTIDE complex",,
4JZJ,,"Interleukin-3 receptor subunit alpha, Fab Heavy Chain, Fab Light Chain",Dual mechanism of interleukin-3 receptor blockade by an anti-cancer antibody,CYTOKINE RECEPTOR/IMMUNE SYSTEM,"receptor-fab complex, CYTOKINE RECEPTOR-IMMUNE SYSTEM complex",,
2WZP,,"PUTATIVE RECEPTOR BINDING PROTEIN, CAMELID VHH5, LACTOCOCCAL PHAGE P2 ORF15, LACTOCOCCAL PHAGE P2 ORF16",Structure of Lactococcal Phage P2 Baseplate and its Mechanism of Activation.,VIRAL PROTEIN,"BASEPLATE, VIRAL PROTEIN",,
7F2O,N,,Molecular basis for kinin selectivity and activation of the human bradykinin receptors.,MEMBRANE PROTEIN,"GPCR, Complex, MEMBRANE PROTEIN",,
5DHV,,"Anti-Rev Antibody Fab single-chain variable fragment, heavy chain, Anti-Rev Antibody Fab single-chain variable fragment, light chain, Protein Rev",The Structure of HIV-1 Rev Filaments Suggests a Bilateral Model for Rev-RRE Assembly.,IMMUNE SYSTEM,"HIV, helical hairpin, RNA-binding, nuclear export, immune system",,
1IFH,,IGG2A FAB FRAGMENT (FAB 17/9) COMPLEX WITH PEPTIDE OF INFLUENZA HEMAGGLUTININ HA1 (STRAIN X47) (RESIDUES 101-107),Detailed analysis of the free and bound conformations of an antibody. X-ray structures of Fab 17/9 and three different Fab-peptide complexes.,IMMUNOGLOBULIN,IMMUNOGLOBULIN,,
6PI7,N,"Tudor and KH domain-containing protein, Uncharacterized protein, Fab antigen-binding fragment, Piwi-like protein 1",Lesson from a Fab-enabled co-crystallization study of TDRD2 and PIWIL1.,PROTEIN BINDING,"Fab, TUDOR domain, PIWIL1, Structural Genomics, Structural Genomics Consortium, SGC, PROTEIN BINDING",,
7MJL,N,"Spike glycoprotein, Fab ab1 Heavy Chain, Fab ab1 Light Chain",Cryo-electron microscopy structures of the N501Y SARS-CoV-2 spike protein in complex with ACE2 and 2 potent neutralizing antibodies.,Viral Protein/Immune System,"SARS-CoV-2, glycoprotein, fusion protein, viral protein, Fab ab1, neutralizing antibody, Viral Protein-Immune System complex",,
4DCQ,,"3B5H10 Light Chain, 3B5H10 Heavy Chain",Disease-associated polyglutamine stretches in monomeric huntingtin adopt a compact structure.,IMMUNE SYSTEM,"Fab fragment, immunoglobulin domain, anti-polyglutamine, polyglutamine repeats, IMMUNE SYSTEM",,
3J8W,,"H263.A2 light chain, H263.A2 heavy chain, L1",Structural comparison of four different antibodies interacting with human papillomavirus 16 and mechanisms of neutralization.,VIRUS/IMMUNE SYSTEM,"L1 pentamer, quasi-HPV16, L1 capsomer, Rosie online, VIRUS-IMMUNE SYSTEM complex",,
7MHY,N,,Substrate and product complexes reveal mechanisms of Hedgehog acylation by HHAT.,TRANSFERASE/IMMUNE SYSTEM,"MBOAT, GOAT, porcupine, acyl transferase, membrane protein, membrane enzyme, ER, palmitoyl-CoA, TRANSFERASE-IMMUNE SYSTEM complex",,
6NF5,N,"HIV-1 Env BG505 MD64 N332-GT5 SOSIP gp120, HIV-1 Env BG505 MD64 N332-GT5 SOSIP gp41, BG18-like precursor HMP1 fragment antigen binding heavy chain, V2-17 protein, base-binding RM20A3 fragment antigen binding heavy chain, base-binding RM20A3 fragment antigen binding light chain",A generalized HIV vaccine design strategy for priming of broadly neutralizing antibody responses.,VIRAL PROTEIN/immune system,"HIV-1, HIV Envelope, SOSIP, antibody, trimer, precursor antibody, VIRAL PROTEIN, VIRAL PROTEIN-immune system complex",,
2D7T,,"anti polyhydroxybutyrate antibody Fv, heavy chain/anti polyhydroxybutyrate antibody Fv, light chain",A human antibody fragment with high affinity for the biodegradable polymer film,IMMUNE SYSTEM,"antibody, plastic, polyhydroxybutyrate, IMMUNE SYSTEM",,
1DLF,,ANTI-DANSYL IMMUNOGLOBULIN IGG2A(S),The pH-dependent structural variation of complementarity-determining region H3 in the crystal structures of the Fv fragment from an anti-dansyl monoclonal antibody.,IMMUNOGLOBULIN,"FV FRAGMENT, IMMUNOGLOBULIN",,
5U3M,N,"DH511.11P Heavy Chain, DH511.11P Light Chain, gp41 MPER peptide",Potent and broad HIV-neutralizing antibodies in memory B cells and plasma.,IMMUNE SYSTEM/VIRAL PROTEIN,"HIV-1, Neutralizing, Antibody, gp41, MPER, IMMUNE SYSTEM-VIRAL PROTEIN complex",,
6LXJ,N,"Neuraminidase (E.C.3.2.1.18), Heavy chain of Z2B3 Fab, Light chain of Z2B3 Fab",Structure-Based Modification of an Anti-neuraminidase Human Antibody Restores Protection Efficacy against the Drifted Influenza Virus.,HYDROLASE/IMMUNE SYSTEM,"antibody, antigen, complex, IMMUNE SYSTEM, HYDROLASE-IMMUNE SYSTEM complex",,
4LSS,,"HIV-1 CLADE A STRAIN KER2018_11 GP120, HEAVY CHAIN OF ANTIBODY VRC01, LIGHT CHAIN OF ANTIBODY VRC01 with N72T mutation","Multidonor Analysis Reveals Structural Elements, Genetic Determinants, and Maturation Pathway for HIV-1 Neutralization by VRC01-Class Antibodies.",viral protein/immune system,"antibody antigen complex, Neutralizing antibody VRC01, viral protein-immune system complex",,
7T5F,N,,Probing the structure and function of the protease domain of botulinum neurotoxins using single-domain antibodies.,TOXIN,"Botulinum neurotoxin, camelid heavy chain antibody, endopeptidase, inhibitor, TOXIN",,
3HR5,,"Fab h47H4 light chain, Fab h47H4 heavy chain, M1prime-derived peptide",Antibodies specific for a segment of human membrane IgE deplete IgE-producing B cells in humanized mice.,IMMUNE SYSTEM,"Fab-peptide complex, IMMUNE SYSTEM",,
5WHZ,N,"Anti-HIV CODV-Fab Light chain, Anti-HIV CODV-Fab Heavy chain",Trispecific broadly neutralizing HIV antibodies mediate potent SHIV protection in macaques.,IMMUNE SYSTEM,"cross-over dual variable immunoglobin, multifunctional biotherapeutic format, bispecific property, CODV, HIV, IMMUNE SYSTEM",,
1F4X,,ANTIBODY FAB FRAGMENT (LIGHT AND HEAVY CHAIN),Crystal structure of an anti-carbohydrate antibody directed against Vibrio cholerae O1 in complex with antigen: molecular basis for serotype specificity.,IMMUNE SYSTEM,"anti-carbohydrate antibody, IMMUNE SYSTEM",,
6HER,N,"Nanobody 484, Mouse Prion protein",Structural evidence for the critical role of the prion protein hydrophobic region in forming an infectious prion.,PROTEIN BINDING,"Prion, Nanobody, aggregation, B-sheet, PROTEIN BINDING",,
5IR1,,"Cetuximab Fab light chain, Cetuximab Fab heavy chain, Meditope variant",Natural and non-natural amino-acid side-chain substitutions: affinity and diffraction studies of meditope-Fab complexes.,IMMUNE SYSTEM,"antibody, anti-EGFR, immune system",,
1RUQ,,"immunoglobulin 13G5 light chain, immunoglobulin 13G5 heavy chain",Probing the antibody-catalyzed water-oxidation pathway at atomic resolution.,IMMUNE SYSTEM,"immunoglobulin, catalytic antibody, water oxidation, amino acid modification, IMMUNE SYSTEM",,
7NIW,N,,Structures of ABCB4 provide insight into phosphatidylcholine translocation.,PROTEIN TRANSPORT,"ABCB4, MDR3, nanodisc, lipid transporter, transporter, phosphatidylcholine, PROTEIN TRANSPORT",,
2EZ0,,,Ion-binding properties of the ClC chloride selectivity filter.,MEMBRANE PROTEIN,"ClC family of channels and transporters, H+/Cl- antiporter, membrane protein-Fab complex, MEMBRANE PROTEIN",,
1JP5,,single-chain Fv fragment 1696/nonamer from N-terminus of HIV-1 protease,Structural basis of HIV-1 and HIV-2 protease inhibition by a monoclonal antibody.,IMMUNE SYSTEM,"antibody-antigen complex, HIV PR inhibiting antibody, IMMUNE SYSTEM",,
6IBL,N,"Thioredoxin 1, Beta-1 adrenergic receptor, Camelid antibody fragment Nb80",Molecular basis of beta-arrestin coupling to formoterol-bound beta1-adrenoceptor.,IMMUNE SYSTEM,"Beta1 Adrenoceptor, Activated, Agonist, Nanobody, immune system",,
6WG1,N,"Fab399 light chain, Fab399 heavy chain, NPNA6 peptide",Structural and biophysical correlation of anti-NANP antibodies with in vivo protection against P. falciparum.,IMMUNE SYSTEM,"Malaria, Sporozoite, Circumsporozoite protein, Antibody, IMMUNE SYSTEM",,
6WDS,N,"EV68-159 light Chain, viral protein 1, viral protein 2, viral protein 3, viral protein 4, EV68-159 heavy chain",Human antibodies neutralize enterovirus D68 and protect against infection and paralytic disease.,VIRUS/IMMUNE SYSTEM,"virus, enterovirus, antibody, Structural Genomics, Center for Structural Genomics of Infectious Diseases, CSGID, VIRUS-IMMUNE SYSTEM complex",,
7EW2,N,,Structural insights into sphingosine-1-phosphate recognition and ligand selectivity of S1PR3-Gi signaling complexes.,MEMBRANE PROTEIN,"Complex, Agonist, MEMBRANE PROTEIN",,
5BK2,N,"Maltose-binding periplasmic protein, sAB Heavy Chain, sAB Light Chain",Engineered synthetic antibodies as probes to quantify the energetic contributions of ligand binding to conformational changes in proteins.,SUGAR BINDING PROTEIN,"Maltose binding protein, Conformation specific synthetic antibody, Fab fragment, SUGAR BINDING PROTEIN",,
7D30,N,,A high-affinity RBD-targeting nanobody improves fusion partner's potency against SARS-CoV-2.,PROTEIN BINDING,"coronavirus, Covid-19, nanobody, neutralizing antibody, receptor binding protein, SARS-CoV-2, S protein, synthetic antibody, VHH., PROTEIN BINDING",,
7CVY,N,"Fab heavy chain, Fab light chain, Togavirin (E.C.3.4.21.90)",Structural basis of Chikungunya virus inhibition by monoclonal antibodies.,IMMUNE SYSTEM/VIRUS,"CHIKV, Fab, complex, VIRUS, IMMUNE SYSTEM-VIRUS complex",,
5DQJ,,"S55-5 Fab (IgG1 kappa) light chain, S55-5 Fab (IgG1) heavy chain",Lipid A-antibody structures reveal a widely-utilized pocket specific for negatively charged groups derived from unrelated V-genes,IMMUNE SYSTEM,"antibody, Fab, carbohydrate binding, Phospholipid, IMMUNE SYSTEM",,
1ORS,,,X-ray structure of a voltage-dependent K+ channel,MEMBRANE PROTEIN,"potassium channel, voltage-dependent, voltage sensor, KvAP, Fab complex, MEMBRANE PROTEIN",,
